ISO3,Country,Continent,Hemisphere,Human Development Groups,UNDP Developing Regions,HDI Rank (2021),Inequality in income (2010),Inequality in income (2011),Inequality in income (2012),Inequality in income (2013),Inequality in income (2014),Inequality in income (2015),Inequality in income (2016),Inequality in income (2017),Inequality in income (2018),Inequality in income (2019),Inequality in income (2020),Inequality in income (2021),GII Rank (2021),Gender Inequality Index (1990),Gender Inequality Index (1991),Gender Inequality Index (1992),Gender Inequality Index (1993),Gender Inequality Index (1994),Gender Inequality Index (1995),Gender Inequality Index (1996),Gender Inequality Index (1997),Gender Inequality Index (1998),Gender Inequality Index (1999),Gender Inequality Index (2000),Gender Inequality Index (2001),Gender Inequality Index (2002),Gender Inequality Index (2003),Gender Inequality Index (2004),Gender Inequality Index (2005),Gender Inequality Index (2006),Gender Inequality Index (2007),Gender Inequality Index (2008),Gender Inequality Index (2009),Gender Inequality Index (2010),Gender Inequality Index (2011),Gender Inequality Index (2012),Gender Inequality Index (2013),Gender Inequality Index (2014),Gender Inequality Index (2015),Gender Inequality Index (2016),Gender Inequality Index (2017),Gender Inequality Index (2018),Gender Inequality Index (2019),Gender Inequality Index (2020),Gender Inequality Index (2021),Inequality in Education (2010),Inequality in Education (2011),Inequality in Education (2012),Inequality in Education (2013),Inequality in Education (2014),Inequality in Education (2015),Inequality in Education (2016),Inequality in Education (2017),Inequality in Education (2018),Inequality in Education (2019),Inequality in Education (2020),Inequality in Education (2021),Longitude,Latitude
DEU,Germany,Europe,Northern Hemisphere,Very High,,9.0,14.54559,14.81088,14.0549,14.75045,17.46195,17.46195,15.73535,15.73535,15.73535,12.46003,12.46003,12.46003,19.0,0.183,0.172,0.162,0.152,0.144,0.14,0.14,0.139,0.136,0.127,0.133,0.129,0.121,0.114,0.107,0.108,0.105,0.105,0.103,0.098,0.096,0.09,0.087,0.078,0.078,0.078,0.085,0.087,0.083,0.079,0.077,0.073,,2.40336,2.44114,2.58042,2.60524,2.60524,2.7227,2.7227,2.7227,2.6632,2.6632,2.6632,13.4115,52.5235
DJI,Djibouti,Africa,Northern Hemisphere,Low,AS,171.0,21.70879,21.70879,30.03165892,27.74495175,27.74495175,27.74495175,27.74495175,27.74495175,27.74495175,27.74495175,27.74495175,27.74495175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.974,46.974,,,,,,,,,,,43.1425,11.5806
DMA,Dominica,America,Northern Hemisphere,High,LAC,102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-61.39,15.2976
DNK,Denmark,Europe,Northern Hemisphere,Very High,,6.0,10.95581,13.32469,14.3998,12.79628,13.46361,12.26297,11.48358,11.39151,10.88624,10.88624,10.05068,10.05068,1.0,0.09,0.09,0.094,0.091,0.093,0.093,0.087,0.089,0.079,0.077,0.075,0.071,0.062,0.058,0.055,0.055,0.056,0.054,0.056,0.051,0.049,0.044,0.042,0.039,0.035,0.035,0.034,0.027,0.022,0.016,0.013,0.013,3.07575,3.06147,2.96127,2.97301,4.5676,4.33284,4.29257,3.01486,2.90482,2.90482,2.50376,2.50376,12.5681,55.6763
DOM,Dominican Republic,America,Northern Hemisphere,High,LAC,80.0,31.930338,32.487814,30.647516,32.167729,28.640709,29.785432,30.369914,26.093622,27.802282,25.628189,25.628189,25.628189,106.0,0.58,0.576,0.572,0.568,0.563,0.557,0.55,0.543,0.518,0.511,0.504,0.501,0.493,0.494,0.496,0.494,0.488,0.493,0.492,0.498,0.491,0.487,0.482,0.478,0.477,0.471,0.457,0.454,0.451,0.443,0.434,0.429,20.18834,19.58799,18.99107,19.03638,18.99339,17.87405,17.64944,15.70572,15.82689,15.04513,15.04513,15.04513,-69.8908,18.479
DZA,Algeria,Africa,Northern Hemisphere,High,AS,91.0,,,,11.36364,11.36364,11.36364,11.36364,11.36364,11.36364,11.5052,11.5052,11.5052,126.0,0.7,0.698,0.694,0.689,0.685,0.675,0.662,0.648,0.624,0.611,0.598,0.59,0.56,0.557,0.556,0.551,0.545,0.529,0.523,0.518,0.519,0.516,0.437,0.438,0.439,0.429,0.428,0.44,0.439,0.437,0.44,0.499,,,,33.68956,33.68956,33.68956,33.68956,33.68956,33.68956,33.28262,33.28262,33.28262,3.05097,36.7397
ECU,Ecuador,America,Southern Hemisphere,High,LAC,95.0,34.619918,31.638398,31.894203,32.026526,29.851789,31.322467,30.297652,29.896735,30.623973,31.050541,31.050541,31.050541,85.0,0.61,0.609,0.604,0.603,0.598,0.594,0.592,0.586,0.505,0.502,0.505,0.502,0.499,0.489,0.479,0.479,0.452,0.449,0.447,0.433,0.432,0.431,0.424,0.404,0.396,0.388,0.376,0.376,0.375,0.37,0.366,0.362,17.4609,16.38272,16.42115,15.45335,14.18076,13.80548,13.5816,13.76572,13.89605,13.3739,13.3739,13.3739,-78.5243,-0.229498
EGY,Egypt,Africa,Northern Hemisphere,High,AS,97.0,,,36.503,36.503,36.503,36.503,36.503,36.503,36.503,36.503,36.503,36.503,109.0,0.665,0.659,0.65,0.646,0.638,0.635,0.633,0.635,0.63,0.627,0.617,0.603,0.607,0.583,0.57,0.575,0.573,0.56,0.562,0.556,0.557,0.553,0.579,0.572,0.567,0.563,0.443,0.438,0.456,0.468,0.445,0.443,40.9,40.9,38.143,38.143,36.94291,36.94291,36.94291,36.94291,36.94291,36.94291,36.94291,36.94291,,
ERI,Eritrea,Africa,Northern Hemisphere,Low,SSA,176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.9183,15.3315
ESP,Spain,Europe,Northern Hemisphere,Very High,,27.0,19.74687,22.14397,23.90812,21.26914,22.84977,22.54773,22.14727,21.86766,19.10714,19.10714,19.31195,19.31195,14.0,0.188,0.181,0.17,0.162,0.151,0.144,0.141,0.141,0.142,0.152,0.129,0.134,0.131,0.132,0.123,0.124,0.125,0.128,0.122,0.112,0.105,0.095,0.089,0.084,0.079,0.074,0.07,0.068,0.062,0.056,0.056,0.057,,,,,19.00461,19.19271,18.56616,17.07892,16.86947,16.86947,15.73379,15.73379,-3.70327,40.4167
EST,Estonia,Europe,Northern Hemisphere,Very High,,31.0,17.71542,17.37153,18.59338,18.62724,20.99342,20.99342,18.73339,15.46027,14.34588,14.34588,14.98963,14.98963,28.0,0.391,0.389,0.384,0.385,0.4,0.374,0.353,0.333,0.326,0.281,0.279,0.268,0.258,0.235,0.226,0.225,0.221,0.227,0.21,0.196,0.166,0.179,0.166,0.154,0.163,0.13,0.126,0.106,0.103,0.092,0.095,0.1,2.64778,2.51063,2.42599,2.33291,2.38509,2.46844,2.31246,2.07606,2.28057,2.28057,2.02737,2.02737,24.7586,59.4392
ETH,Ethiopia,Africa,Northern Hemisphere,Low,SSA,175.0,9.05791,9.49739,9.49739,9.49739,9.49739,9.49739,13.3515,13.3515,13.3515,12.07582,12.07582,12.07582,129.0,,,,,,,,,,,,0.7,0.697,0.691,0.687,0.639,0.63,0.623,0.617,0.609,0.596,0.592,0.581,0.571,0.565,0.536,0.53,0.525,0.525,0.526,0.526,0.52,,44.335,44.335,44.335,44.335,44.335,43.50563,43.50563,43.50563,42.77036,42.77036,42.77036,38.7468,9.02274
FIN,Finland,Europe,Northern Hemisphere,Very High,,11.0,11.30984,10.77941,10.77818,10.56616,10.38763,10.01719,10.50979,10.43909,10.33787,10.33787,10.48338,10.48338,6.0,0.108,0.104,0.1,0.095,0.093,0.092,0.097,0.087,0.086,0.082,0.084,0.089,0.092,0.088,0.087,0.083,0.077,0.071,0.07,0.069,0.07,0.064,0.063,0.061,0.061,0.054,0.048,0.042,0.037,0.031,0.032,0.033,2.40087,2.05531,2.05054,2.0293,2.01812,1.98233,1.93747,2.27839,2.23918,2.23918,2.41555,2.41555,24.9525,60.1608
FJI,Fiji,Oceania,Southern Hemisphere,High,EAP,99.0,22.6,22.6,22.6,22.6,,,,,,,,,77.0,0.526,0.517,0.51,0.505,0.499,0.495,0.489,0.482,0.474,0.416,0.412,0.408,0.405,0.409,0.438,0.435,0.427,0.42,0.413,0.406,0.401,0.395,0.397,0.398,0.364,0.346,0.342,0.34,0.325,0.324,0.324,0.318,11.85438786,11.85438786,11.85438786,11.85438786,11.85438786,,,2.636659279,2.636659279,2.636659279,2.636659279,2.636659279,178.399,-18.1149
FRA,France,Europe,Northern Hemisphere,Very High,,28.0,13.25456,14.17367,13.94993,13.46136,13.65268,13.65268,13.58492,14.3716,13.36567,13.36567,13.91798,13.91798,22.0,0.229,0.228,0.224,0.21,0.202,0.197,0.189,0.183,0.186,0.191,0.195,0.184,0.175,0.171,0.159,0.157,0.157,0.137,0.133,0.129,0.129,0.126,0.111,0.107,0.103,0.097,0.092,0.073,0.078,0.086,0.084,0.083,9.43536,8.64799,7.96173,7.50871,8.6482,8.23988,8.59672,9.135,9.48623,9.48623,7.72173,7.72173,2.35097,48.8566
FSM,Micronesia,Oceania,Northern Hemisphere,Medium,EAP,134.0,,,,26.38098943,26.38098943,26.38098943,26.38098943,26.38098943,26.38098943,26.38098943,26.38098943,26.38098943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAB,Gabon,Africa,Southern Hemisphere,High,SSA,112.0,,,20.4113,20.4113,20.4113,20.4113,20.4113,21.2138981,21.2138981,21.2138981,21.2138981,21.2138981,140.0,0.643,0.643,0.643,0.643,0.64,0.639,0.638,0.637,0.636,0.634,0.625,0.621,0.617,0.614,0.608,0.605,0.594,0.584,0.581,0.578,0.576,0.574,0.566,0.562,0.561,0.557,0.555,0.549,0.549,0.545,0.55,0.541,,,23.47992,23.47992,23.47992,23.47992,23.47992,23.47992,23.47992,23.47992,23.47992,23.47992,9.45162,0.38832
GBR,United Kingdom,Europe,Northern Hemisphere,Very High,,18.0,16.92925,18.76843,17.81109,16.20068,16.32592,16.32592,17.09783,16.74895,17.96959,17.96959,17.96959,17.96959,27.0,0.255,0.254,0.25,0.244,0.238,0.235,0.237,0.238,0.24,0.236,0.21,0.212,0.209,0.208,0.205,0.202,0.199,0.197,0.197,0.186,0.179,0.169,0.162,0.153,0.144,0.13,0.125,0.117,0.112,0.106,0.1,0.098,2.61782,2.61782,2.78598,2.83294,2.83294,3.7586,3.74374,2.73404,2.84785,2.84785,2.84785,2.84785,-0.126236,51.5002
GEO,Georgia,Asia,Northern Hemisphere,Very High,ECA,63.0,32.13,32.13,32.13,25.95,25.95,25.95,24.85,24.85,24.85,24.85,24.85,24.85,66.0,,,,,,,,,,,0.389,0.378,0.4,0.392,0.378,0.391,0.377,0.383,0.426,0.452,0.414,0.411,0.364,0.364,0.362,0.355,0.326,0.309,0.298,0.295,0.271,0.28,,,4.061323717,4.061323717,3.139084436,3.139084436,2.517036309,2.784805013,2.784805013,2.784805013,2.784805013,2.784805013,44.793,41.71
GHA,Ghana,Africa,Northern Hemisphere,Medium,SSA,133.0,27.22482,22.40757,22.40757,22.40757,25.31453,25.31453,25.31453,24.14249,24.14249,24.14249,24.14249,24.14249,130.0,0.646,0.64,0.635,0.63,0.628,0.625,0.62,0.618,0.614,0.608,0.604,0.597,0.591,0.587,0.576,0.573,0.568,0.567,0.579,0.574,0.573,0.572,0.571,0.556,0.554,0.554,0.55,0.538,0.539,0.536,0.535,0.529,40.9,36.74153,36.74153,36.74153,34.92485,34.92485,34.92485,35.10167,35.10167,35.10167,35.10167,35.10167,-0.20795,5.57045
GIN,Guinea,Africa,Northern Hemisphere,Low,SSA,182.0,,,17.05626,17.05626,17.05626,17.05626,17.05626,17.05626,17.83777,17.83777,17.83777,17.83777,157.0,0.695,0.696,0.697,0.7,0.701,0.701,0.706,0.707,0.699,0.701,0.702,0.701,0.702,0.666,0.665,0.661,0.656,0.653,0.653,0.653,0.653,0.651,0.648,0.644,0.637,0.63,0.62,0.614,0.611,0.607,0.622,0.621,42.0,42.0,48.26536,48.26536,48.26536,48.26536,48.26536,48.26536,50.12411,50.12411,50.12411,50.12411,-13.7,9.51667
GMB,Gambia,Africa,Northern Hemisphere,Low,SSA,174.0,26.928,26.928,26.928,27.076,27.076,27.076,27.076,27.076,17.46726,17.46726,17.46726,17.46726,153.0,0.777,0.776,0.776,0.776,0.773,0.77,0.767,0.763,0.76,0.757,0.753,0.75,0.705,0.663,0.658,0.653,0.649,0.66,0.656,0.664,0.659,0.656,0.653,0.648,0.633,0.627,0.621,0.611,0.607,0.605,0.612,0.611,,,,49.32129,49.32129,49.32129,49.32129,49.32129,47.65805,47.65805,47.00005,47.00005,,
GNB,Guinea-Bissau,Africa,Northern Hemisphere,Low,SSA,177.0,32.5,32.5,32.5,32.5,32.5,32.5,37.9,37.9,37.9,37.9,37.9,37.9,159.0,,,,,,,,,,,,,,,,0.664,0.659,0.655,0.667,0.663,0.661,0.659,0.641,0.639,0.637,0.635,0.632,0.63,0.629,0.629,0.628,0.627,40.315,40.315,40.315,40.315,41.91002,41.91002,41.91002,41.91002,41.91002,42.08704,42.08704,42.08704,-15.1804,11.8037
GNQ,Equatorial Guinea,Africa,Northern Hemisphere,Medium,SSA,145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7741,3.7523
GRC,Greece,Europe,Northern Hemisphere,Very High,,33.0,18.07374,18.07374,20.64323,21.08044,20.69059,20.80284,21.03849,19.47699,17.44667,17.44667,16.63777,16.63777,32.0,0.299,0.296,0.287,0.277,0.27,0.262,0.254,0.25,0.244,0.238,0.205,0.216,0.215,0.214,0.176,0.178,0.176,0.17,0.173,0.157,0.152,0.14,0.124,0.121,0.118,0.122,0.124,0.129,0.127,0.121,0.119,0.119,11.26785,11.26785,11.62377,11.6945,14.16485,13.28169,13.11876,12.77045,11.06794,11.06794,11.73784,11.73784,23.7166,37.9792
GRD,Grenada,America,Northern Hemisphere,High,LAC,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-61.7449,12.0653
GTM,Guatemala,America,Northern Hemisphere,Medium,LAC,135.0,39.18,44.16,44.16,44.16,29.56,29.56,29.56,29.56,29.56,29.56,29.56,29.56,121.0,0.592,0.595,0.597,0.592,0.59,0.577,0.571,0.573,0.573,0.592,0.584,0.58,0.578,0.575,0.574,0.576,0.574,0.553,0.548,0.551,0.549,0.541,0.539,0.529,0.523,0.522,0.513,0.52,0.517,0.488,0.485,0.481,36.03623,34.64291,34.64291,34.64291,33.3511,34.95493,34.95493,34.95493,34.95493,34.95493,34.95493,34.95493,-90.5328,14.6248
GUY,Guyana,America,Northern Hemisphere,High,LAC,108.0,24.44892,24.44892,24.44892,24.44892,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1,114.0,,,,,,,,,,0.564,0.561,0.556,0.555,0.553,0.527,0.526,0.526,0.519,0.508,0.502,0.496,0.49,0.487,0.48,0.477,0.476,0.471,0.465,0.462,0.46,0.455,0.454,10.48157,10.48157,10.48157,10.48157,10.70029,10.70029,10.70029,10.70029,10.70029,10.7,10.42545,10.42545,-58.1548,6.80461
HKG,Hong Kong,Asia,Northern Hemisphere,Very High,,4.0,,25.56271964,25.56271964,25.56271964,25.56271964,25.56271964,25.56271964,25.56271964,25.56271964,25.56271964,25.56271964,25.56271964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.39056787,11.85039423,11.85039423,11.85039423,10.66597921,10.16161518,10.16161518,9.754632522,9.754632522,9.671619265,9.671619265,9.671619265,,
HND,Honduras,America,Northern Hemisphere,Medium,LAC,137.0,40.712028,40.756529,41.696769,36.962278,36.258039,35.659413,37.548218,36.45059,36.194995,34.911526,34.911526,34.911526,107.0,,,,,,,,,0.543,0.536,0.534,0.531,0.555,0.551,0.549,0.47,0.474,0.471,0.465,0.474,0.469,0.466,0.462,0.452,0.429,0.424,0.423,0.424,0.426,0.447,0.448,0.431,25.34126,25.07937,24.34048,24.41458,23.57479,23.37398,22.78421,23.34274,22.44937,21.61233,21.61233,21.61233,-87.4667,15.1333
HRV,Croatia,Europe,Northern Hemisphere,Very High,,40.0,,17.56036,17.24145,17.60962,17.36734,17.36734,16.8815,15.18866,14.37065,14.37065,12.9537,12.9537,26.0,0.312,0.315,0.297,0.283,0.284,0.286,0.282,0.277,0.263,0.245,0.191,0.187,0.183,0.18,0.158,0.158,0.154,0.157,0.156,0.142,0.136,0.133,0.128,0.122,0.119,0.144,0.157,0.13,0.125,0.119,0.095,0.093,,,4.33104,4.41647,4.9891,5.16336,5.0064,4.93405,4.67412,4.67412,4.24197,4.24197,15.9614,45.8069
HTI,Haiti,America,Northern Hemisphere,Low,LAC,163.0,47.863,47.863,48.39911,48.39911,48.39911,48.39911,50.43867,50.43867,50.43867,50.43867,50.43867,50.43867,163.0,,,,,,,,,,,,0.597,0.595,0.594,0.6,0.593,0.627,0.612,0.621,0.624,0.625,0.63,0.636,0.633,0.63,0.628,0.774,0.637,0.636,0.635,0.636,0.635,40.681,40.681,38.29759,38.29759,38.29759,38.29759,38.29759,37.33677,37.33677,37.33677,37.33677,37.33677,-72.3288,18.5392
HUN,Hungary,Europe,Northern Hemisphere,Very High,,46.0,12.21144,13.11032,12.61731,14.48154,14.58424,15.2567,14.73987,16.05152,13.93919,13.93919,12.29405,12.29405,55.0,0.339,0.332,0.327,0.325,0.319,0.314,0.3,0.295,0.304,0.297,0.291,0.28,0.275,0.261,0.267,0.262,0.246,0.245,0.241,0.233,0.24,0.242,0.242,0.25,0.248,0.247,0.252,0.248,0.229,0.227,0.231,0.221,4.08192,3.48215,3.18778,3.11786,3.09017,2.95528,3.21994,3.19396,3.11063,3.11063,2.86309,2.86309,19.0408,47.4984
IDN,Indonesia,Asia,Southern Hemisphere,High,EAP,114.0,,,17.2563,17.2563,17.2563,17.2563,17.2563,20.11727,20.11727,20.11727,20.11727,20.11727,110.0,0.6,0.594,0.586,0.581,0.575,0.571,0.566,0.563,0.557,0.554,0.57,0.571,0.57,0.567,0.547,0.544,0.542,0.534,0.53,0.503,0.499,0.496,0.491,0.487,0.485,0.478,0.469,0.455,0.453,0.457,0.447,0.444,20.92645685,19.64056516,19.64056516,19.64056516,18.43037173,18.62336339,16.15374573,16.15374573,17.25001669,17.25001669,17.25001669,17.25001669,106.83,-6.19752
IND,India,Asia,Northern Hemisphere,Medium,SA,132.0,19.16,19.16,19.16,19.16,19.16,19.369,19.369,19.369,19.369,19.369,19.369,19.369,122.0,0.71,0.711,0.709,0.706,0.704,0.701,0.694,0.688,0.678,0.67,0.664,0.66,0.655,0.647,0.636,0.618,0.61,0.603,0.606,0.589,0.582,0.576,0.571,0.565,0.558,0.525,0.516,0.51,0.505,0.486,0.493,0.49,42.42,42.42,42.42,42.42,42.42,38.66773,38.66773,38.66773,38.66773,36.87573,36.87573,36.87573,77.225,28.6353
IRL,Ireland,Europe,Northern Hemisphere,Very High,,8.0,13.79216,13.79216,13.79216,16.32331,18.11922,18.11922,18.11922,14.70554,14.70554,14.70554,12.26296,12.26296,21.0,0.211,0.213,0.209,0.2,0.193,0.191,0.195,0.198,0.203,0.204,0.202,0.202,0.196,0.193,0.188,0.182,0.181,0.175,0.174,0.168,0.163,0.14,0.134,0.121,0.115,0.109,0.092,0.086,0.084,0.079,0.073,0.074,3.23114,3.23114,3.23114,2.98953,2.93136,2.87308,2.87308,3.28604,3.28604,3.28604,3.39666,3.39666,-6.26749,53.3441
IRN,Iran,Asia,Northern Hemisphere,High,SA,76.0,,,,19.71428189,19.71428189,19.71428189,19.71428189,19.71428189,19.71428189,19.71428189,19.71428189,19.71428189,115.0,0.708,0.695,0.684,0.671,0.655,0.642,0.629,0.612,0.596,0.581,0.583,0.57,0.547,0.536,0.524,0.513,0.51,0.511,0.541,0.53,0.525,0.527,0.514,0.525,0.527,0.514,0.457,0.455,0.452,0.447,0.465,0.459,5.06605578,5.06605578,5.06496154,4.970760875,4.966588065,4.966588065,4.984428444,4.984428444,4.984428444,4.984428444,4.984428444,4.984428444,,
IRQ,Iraq,Asia,Northern Hemisphere,Medium,AS,121.0,,16.14712,16.14712,16.14712,16.14712,16.14712,16.14712,16.14712,12.67895,12.67895,12.67895,12.67895,145.0,0.721,0.717,0.713,0.71,0.705,0.7,0.693,0.686,0.676,0.668,0.654,0.646,0.641,0.67,0.665,0.665,0.62,0.609,0.583,0.574,0.574,0.572,0.569,0.568,0.571,0.555,0.543,0.571,0.569,0.567,0.564,0.558,,30.63102,30.63102,30.63102,30.63102,30.63102,30.63102,30.63102,29.74591,29.74591,29.74591,29.74591,44.394,33.3302
ISL,Iceland,Europe,Northern Hemisphere,Very High,,3.0,13.23446,11.61685,12.21693,11.14863,10.17085,11.67254,9.80916,9.80916,9.51407,9.51407,9.51407,9.51407,8.0,0.187,0.183,0.174,0.164,0.16,0.157,0.156,0.161,0.165,0.145,0.141,0.134,0.128,0.126,0.115,0.107,0.107,0.11,0.112,0.099,0.093,0.088,0.085,0.072,0.07,0.063,0.053,0.056,0.053,0.051,0.051,0.043,2.5442,2.49579,2.41753,2.48965,2.60176,2.55416,2.79474,2.79474,2.20077,2.20077,2.20077,2.20077,-21.8952,64.1353
ISR,Israel,Asia,Northern Hemisphere,Very High,,22.0,24.997,24.997,24.546,24.546,22.984,22.984,23.689,23.689,23.134,23.134,23.134,23.134,22.0,0.27,0.264,0.255,0.248,0.244,0.242,0.24,0.233,0.235,0.2,0.193,0.186,0.179,0.174,0.171,0.168,0.169,0.17,0.17,0.149,0.145,0.138,0.131,0.117,0.114,0.104,0.101,0.094,0.089,0.098,0.084,0.083,8.52947,8.431034,7.632879,6.972077,6.736993,6.604792,6.556548,6.58256,6.272,6.272,6.272,6.272,35.2035,31.7717
ITA,Italy,Europe,Northern Hemisphere,Very High,,30.0,18.08855,19.82056,19.84636,20.5853,21.26166,21.26166,21.26166,21.34472,21.17692,20.87235,20.87235,20.87235,13.0,0.212,0.206,0.205,0.206,0.201,0.195,0.191,0.184,0.182,0.186,0.186,0.189,0.188,0.179,0.177,0.175,0.142,0.14,0.127,0.125,0.123,0.119,0.115,0.086,0.082,0.079,0.075,0.07,0.057,0.054,0.055,0.056,13.12758,11.67765,10.55974,9.85659,11.46944,10.45736,10.45736,10.97711,10.60056,10.05442,10.05442,10.05442,12.4823,41.8955
JAM,Jamaica,America,Northern Hemisphere,High,LAC,110.0,,31.96616,31.96616,31.96616,31.96616,31.96616,31.96616,31.96616,31.96616,31.96616,31.96616,31.96616,80.0,0.471,0.471,0.471,0.47,0.468,0.465,0.461,0.459,0.443,0.44,0.434,0.436,0.432,0.44,0.44,0.436,0.434,0.426,0.424,0.423,0.417,0.409,0.409,0.405,0.394,0.392,0.379,0.372,0.366,0.363,0.336,0.335,,5.60595,5.60595,5.60595,5.60595,5.60595,5.60595,5.60595,6.51579,6.51579,6.51579,6.51579,-76.792,17.9927
JOR,Jordan,Asia,Northern Hemisphere,High,AS,102.0,21.07619,21.07619,20.49108,20.49108,20.49108,20.49108,20.49108,17.91185,17.91185,17.91185,17.91185,17.91185,118.0,0.671,0.664,0.656,0.65,0.646,0.642,0.637,0.632,0.604,0.598,0.593,0.572,0.567,0.517,0.517,0.519,0.509,0.504,0.503,0.503,0.482,0.479,0.479,0.473,0.468,0.464,0.442,0.436,0.449,0.457,0.475,0.471,22.4,22.4,16.9017,16.9017,16.9017,16.9017,16.9017,15.44186,15.44186,15.44186,15.44186,15.44186,35.9263,31.9497
JPN,Japan,Asia,Northern Hemisphere,Very High,,19.0,14.557639,14.557639,14.557639,16.662889,16.662889,16.662889,16.662889,16.662889,16.662889,16.662889,16.662889,16.662889,22.0,0.162,0.161,0.164,0.16,0.161,0.159,0.155,0.157,0.161,0.155,0.147,0.149,0.155,0.153,0.155,0.142,0.138,0.129,0.128,0.12,0.114,0.113,0.124,0.125,0.124,0.115,0.102,0.093,0.087,0.08,0.082,0.083,,,,4.511,4.511,4.511,4.511,4.511,4.511,4.511,4.511,4.511,139.77,35.67
KAZ,Kazakhstan,Asia,Northern Hemisphere,Very High,ECA,56.0,17.325,12.65731,12.65731,12.65731,12.65731,10.33987,10.33987,10.33987,10.33987,10.33987,10.33987,10.33987,41.0,0.427,0.428,0.431,0.438,0.438,0.439,0.427,0.416,0.403,0.386,0.377,0.364,0.35,0.359,0.347,0.349,0.348,0.321,0.31,0.287,0.278,0.269,0.248,0.238,0.229,0.214,0.19,0.177,0.173,0.168,0.164,0.161,6.94,5.874,5.874,5.874,5.874,3.16666,3.16666,3.16666,3.16666,3.16666,3.16666,3.16666,71.4382,51.1879
KEN,Kenya,Africa,Northern Hemisphere,Medium,SSA,152.0,35.96532,35.96532,35.96532,35.96532,33.14821,33.14821,33.14821,33.14821,33.14821,33.14821,33.14821,33.14821,128.0,0.716,0.713,0.711,0.708,0.706,0.704,0.704,0.702,0.693,0.692,0.69,0.69,0.687,0.655,0.652,0.647,0.64,0.634,0.613,0.605,0.595,0.588,0.581,0.543,0.538,0.532,0.527,0.515,0.514,0.511,0.507,0.506,26.01787,26.01787,26.01787,26.01787,22.89552,22.89552,22.89552,22.89552,22.89552,22.89552,22.89552,22.89552,36.8126,-1.27975
KGZ,Kyrgyzstan,Asia,Northern Hemisphere,Medium,ECA,118.0,24.05403,24.05403,17.73515,17.73515,12.17395,12.17395,12.17395,12.17395,13.83059,13.83059,13.83059,13.83059,87.0,0.493,0.502,0.502,0.512,0.516,0.518,0.512,0.495,0.485,0.471,0.451,0.434,0.439,0.433,0.429,0.669,0.673,0.359,0.36,0.367,0.378,0.389,0.388,0.389,0.385,0.39,0.385,0.38,0.381,0.381,0.386,0.37,6.587,6.587,5.01723,5.01723,4.97927,4.97927,4.97927,4.97927,3.36425,3.36425,3.36425,3.36425,,
KHM,Cambodia,Asia,Northern Hemisphere,Medium,EAP,146.0,20.28995,20.28995,20.28995,20.28995,14.34211,14.34211,14.34211,14.34211,14.34211,14.34211,14.34211,14.34211,116.0,0.679,0.681,0.681,0.675,0.666,0.654,0.64,0.633,0.629,0.628,0.602,0.599,0.595,0.58,0.574,0.571,0.562,0.531,0.531,0.513,0.51,0.507,0.504,0.501,0.493,0.484,0.475,0.47,0.466,0.464,0.466,0.461,28.3292,28.3292,28.3292,28.3292,27.30485,27.30485,27.30485,27.30485,27.30485,27.30485,27.30485,27.30485,104.874,11.5556
KIR,Kiribati,Oceania,Northern Hemisphere,Medium,EAP,136.0,,,,,,,,,19.35687,19.35687,19.35687,19.35687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.38,21.38,21.38,21.38,21.38,21.38,,,9.63653,9.63653,9.63653,9.63653,172.979,1.32905
KNA,Saint Kitts and Nevis,America,Northern Hemisphere,High,LAC,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
