ISO3,Country,Continent,Hemisphere,Human Development Groups,UNDP Developing Regions,HDI Rank (2021),Inequality in income (2010),Inequality in income (2011),Inequality in income (2012),Inequality in income (2013),Inequality in income (2014),Inequality in income (2015),Inequality in income (2016),Inequality in income (2017),Inequality in income (2018),Inequality in income (2019),Inequality in income (2020),Inequality in income (2021),GII Rank (2021),Gender Inequality Index (1990),Gender Inequality Index (1991),Gender Inequality Index (1992),Gender Inequality Index (1993),Gender Inequality Index (1994),Gender Inequality Index (1995),Gender Inequality Index (1996),Gender Inequality Index (1997),Gender Inequality Index (1998),Gender Inequality Index (1999),Gender Inequality Index (2000),Gender Inequality Index (2001),Gender Inequality Index (2002),Gender Inequality Index (2003),Gender Inequality Index (2004),Gender Inequality Index (2005),Gender Inequality Index (2006),Gender Inequality Index (2007),Gender Inequality Index (2008),Gender Inequality Index (2009),Gender Inequality Index (2010),Gender Inequality Index (2011),Gender Inequality Index (2012),Gender Inequality Index (2013),Gender Inequality Index (2014),Gender Inequality Index (2015),Gender Inequality Index (2016),Gender Inequality Index (2017),Gender Inequality Index (2018),Gender Inequality Index (2019),Gender Inequality Index (2020),Gender Inequality Index (2021),Inequality in Education (2010),Inequality in Education (2011),Inequality in Education (2012),Inequality in Education (2013),Inequality in Education (2014),Inequality in Education (2015),Inequality in Education (2016),Inequality in Education (2017),Inequality in Education (2018),Inequality in Education (2019),Inequality in Education (2020),Inequality in Education (2021),Longitude,Latitude
KOR,South Korea,Asia,Northern Hemisphere,Very High,,19.0,17.25,17.25,16.69,16.69,16.05,16.05,16.13,16.13,16.13,16.13,16.13,16.13,15.0,0.298,0.29,0.28,0.265,0.256,0.249,0.244,0.236,0.219,0.212,0.17,0.161,0.158,0.159,0.097,0.1,0.104,0.107,0.114,0.113,0.113,0.113,0.108,0.108,0.1,0.096,0.086,0.08,0.078,0.078,0.07,0.067,10.6370709,10.6370709,10.6370709,10.6370709,10.6370709,8.836042338,8.836042338,8.836042338,8.836042338,8.836042338,8.836042338,8.836042338,,
KWT,Kuwait,Asia,Northern Hemisphere,Very High,AS,50.0,,,,,,,,,,,,,74.0,0.591,0.584,0.578,0.587,0.593,0.597,0.592,0.581,0.571,0.564,0.56,0.557,0.554,0.555,0.552,0.36,0.355,0.354,0.298,0.231,0.225,0.216,0.232,0.216,0.319,0.316,0.296,0.258,0.253,0.225,0.204,0.305,24.47025119,24.47025119,21.61969367,22.91144815,22.91144815,22.46443172,22.46443172,21.94016533,22.10817735,22.10817735,22.10817735,22.10817735,47.9824,29.3721
LAO,Lao,Asia,Northern Hemisphere,Medium,EAP,140.0,20.56506,20.56506,20.3255,20.3255,20.3255,20.3255,20.3255,20.58334,20.58334,20.58334,20.58334,20.58334,120.0,,,,,,,,,0.595,0.591,0.587,0.581,0.57,0.564,0.56,0.554,0.545,0.541,0.536,0.531,0.524,0.517,0.509,0.503,0.495,0.488,0.477,0.471,0.469,0.468,0.466,0.478,31.21,31.21,34.0543,34.0543,34.0543,34.0543,34.0543,31.31796,31.31796,31.31796,31.31796,31.31796,,
LBN,Lebanon,Asia,Northern Hemisphere,High,AS,112.0,29.985,,,,,,,,,,,,108.0,,,,,,,,,,,,,,,,,,0.422,0.42,0.444,0.445,0.452,0.453,0.458,0.462,0.464,0.464,0.462,0.434,0.432,0.433,0.432,,6.177,6.177,6.177,6.177,6.177,6.177,6.177,6.177,6.177,6.177,6.177,35.5134,33.8872
LBR,Liberia,Africa,Northern Hemisphere,Low,SSA,178.0,19.004,19.004,19.004,22.72204,22.72204,22.72204,22.72204,22.72204,22.72204,22.72204,19.74577,19.74577,164.0,,,,,,,,,,,0.685,0.685,0.688,0.682,0.71,0.668,0.666,0.664,0.662,0.66,0.657,0.666,0.66,0.658,0.657,0.66,0.655,0.655,0.645,0.642,0.65,0.648,46.38,46.38,46.38,42.87091,42.87091,42.87091,42.87091,42.87091,42.87091,42.87091,42.11968,42.11968,-10.7957,6.30039
LBY,Libya,Africa,Northern Hemisphere,High,AS,104.0,,,,,,,,,,,,,61.0,,,,,,,,,,,,,,,,0.325,0.286,0.28,0.276,0.275,0.28,0.289,0.243,0.252,0.26,0.267,0.268,0.264,0.262,0.26,0.259,0.259,,,,,,,,,,,,,13.1072,32.8578
LCA,Saint Lucia,America,Northern Hemisphere,High,LAC,106.0,,,27.39586,27.39586,27.39586,27.39586,27.39586,27.39586,27.39586,27.39586,27.39586,27.39586,91.0,0.477,0.47,0.463,0.461,0.462,0.462,0.457,0.453,0.447,0.442,0.437,0.438,0.435,0.409,0.402,0.39,0.406,0.398,0.396,0.389,0.392,0.386,0.401,0.398,0.398,0.394,0.395,0.394,0.394,0.392,0.391,0.381,26.66745775,26.66745775,26.66745775,27.30567775,27.30567775,27.30567775,27.30567775,27.30567775,27.30567775,27.30567775,27.30567775,27.30567775,,
LIE,Liechtenstein,Europe,Northern Hemisphere,Very High,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.52148,47.1411
LKA,Sri Lanka,Asia,Northern Hemisphere,High,SA,73.0,,,,,,,22.36351,22.36351,22.36351,22.36351,22.36351,22.36351,92.0,0.469,0.473,0.477,0.474,0.467,0.473,0.468,0.461,0.447,0.459,0.462,0.46,0.459,0.456,0.445,0.435,0.433,0.415,0.411,0.414,0.416,0.407,0.409,0.395,0.387,0.389,0.376,0.372,0.378,0.385,0.384,0.383,,,,,,,11.99693,11.99693,11.99693,11.99693,11.99693,11.99693,79.8528,6.92148
LSO,Lesotho,Africa,Southern Hemisphere,Low,SSA,168.0,47.03917,47.03917,47.03917,47.03917,41.1,41.1,41.1,41.1,29.57664,29.57664,29.57664,29.57664,144.0,0.589,0.588,0.587,0.585,0.584,0.583,0.583,0.583,0.582,0.582,0.585,0.588,0.59,0.574,0.574,0.576,0.576,0.562,0.559,0.561,0.558,0.557,0.554,0.556,0.555,0.558,0.558,0.56,0.559,0.557,0.557,0.557,24.3,24.3,24.3,24.3,21.91631,21.91631,21.91631,21.91631,19.55712,19.55712,19.55712,19.55712,27.7167,-29.5208
LTU,Lithuania,Europe,Northern Hemisphere,Very High,,35.0,20.10029,18.5545,17.48654,19.6098,19.72888,19.72888,23.66926,21.80475,20.12206,20.12206,17.05362,17.05362,30.0,0.32,0.328,0.331,0.325,0.328,0.318,0.303,0.277,0.265,0.243,0.263,0.249,0.239,0.238,0.186,0.191,0.184,0.187,0.195,0.166,0.149,0.153,0.138,0.137,0.135,0.136,0.138,0.133,0.128,0.122,0.107,0.105,4.96892,6.07428,5.85483,5.60263,5.38301,4.83441,4.51676,4.27895,3.88094,3.88094,3.57741,3.57741,25.2799,54.6896
LUX,Luxembourg,Europe,Northern Hemisphere,Very High,,17.0,11.55033,13.12387,13.8947,15.0531,14.95153,14.95153,14.95153,16.64219,18.68508,18.68508,16.6522,16.6522,9.0,0.213,0.203,0.19,0.191,0.182,0.179,0.17,0.156,0.149,0.162,0.17,0.165,0.167,0.165,0.137,0.133,0.126,0.12,0.111,0.111,0.109,0.089,0.093,0.072,0.071,0.067,0.063,0.058,0.074,0.062,0.051,0.044,6.30828,6.04121,6.01176,5.84549,8.12629,9.35443,9.35443,8.00368,6.29069,6.29069,4.71707,4.71707,6.1296,49.61
LVA,Latvia,Europe,Northern Hemisphere,Very High,,39.0,20.93875,19.80556,20.52043,20.20879,20.38932,20.29483,20.29483,18.5306,19.33165,19.33165,17.45024,17.45024,40.0,0.415,0.416,0.413,0.419,0.409,0.392,0.363,0.339,0.327,0.284,0.275,0.272,0.262,0.258,0.253,0.25,0.269,0.269,0.261,0.241,0.231,0.227,0.22,0.23,0.235,0.227,0.225,0.204,0.155,0.156,0.149,0.151,3.57961,3.63922,3.4944,3.78981,3.84566,3.7064,3.7064,2.58293,2.53011,2.53011,2.22774,2.22774,24.1048,56.9465
MAR,Morocco,Africa,Northern Hemisphere,Medium,AS,123.0,23.0,,,,,,,22.50352,22.50352,22.50352,22.50352,22.50352,104.0,0.741,0.739,0.735,0.731,0.726,0.723,0.719,0.716,0.711,0.706,0.7,0.706,0.582,0.575,0.565,0.558,0.55,0.545,0.538,0.53,0.526,0.493,0.489,0.481,0.476,0.451,0.44,0.437,0.435,0.432,0.433,0.425,45.8,,,,,,,,41.87093,41.87093,41.87093,41.87093,-6.8704,33.9905
MCO,Monaco,Europe,Northern Hemisphere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.41891,43.7325
MDA,Moldova,Europe,Northern Hemisphere,High,ECA,80.0,14.80348749,13.56489292,12.31469122,11.79960639,10.43722208,10.43722208,10.43722208,10.43722208,10.43722208,10.43722208,10.43722208,10.43722208,51.0,0.46,0.475,0.471,0.474,0.485,0.486,0.477,0.462,0.447,0.397,0.396,0.348,0.336,0.329,0.305,0.287,0.284,0.278,0.273,0.267,0.284,0.255,0.255,0.253,0.277,0.264,0.257,0.242,0.241,0.229,0.228,0.205,3.573789055,3.487020812,3.254724925,3.247362894,2.925775997,2.759083599,2.759083599,2.759083599,2.570094084,2.570094084,2.570094084,2.570094084,28.8497,47.0167
MDG,Madagascar,Africa,Southern Hemisphere,Low,SSA,173.0,36.07534,36.07534,36.07534,20.43828,20.43828,20.43828,20.43828,20.43828,27.557,27.557,27.557,27.557,143.0,,,,,,0.675,0.673,0.671,0.67,0.637,0.637,0.636,0.635,0.645,0.632,0.629,0.628,0.622,0.62,0.618,0.603,0.598,0.582,0.579,0.562,0.559,0.556,0.554,0.552,0.558,0.554,0.556,30.1,30.1,35.01448,35.01448,35.01448,35.01448,35.01448,35.01448,29.34582,29.34582,29.34582,29.34582,45.7167,-20.4667
MDV,Maldives,Asia,Northern Hemisphere,High,SA,90.0,23.15146,23.15146,23.15146,23.15146,23.15146,23.15146,25.8459,25.8459,25.8459,25.8459,25.8459,25.8459,83.0,0.713,0.696,0.677,0.66,0.642,0.62,0.597,0.575,0.555,0.526,0.499,0.483,0.465,0.449,0.444,0.386,0.371,0.365,0.37,0.414,0.406,0.393,0.384,0.374,0.373,0.362,0.355,0.346,0.341,0.353,0.351,0.348,39.96557,39.96557,39.96557,39.96557,39.96557,39.96557,29.31948,29.31948,29.31948,29.31948,29.31948,29.31948,73.5109,4.1742
MEX,Mexico,America,Northern Hemisphere,High,LAC,86.0,32.397166,32.397166,33.945796,33.945796,33.733936,33.733936,30.804773,30.804773,29.798888,29.798888,29.798888,29.798888,75.0,0.505,0.499,0.493,0.489,0.485,0.479,0.477,0.472,0.462,0.459,0.46,0.461,0.459,0.44,0.436,0.426,0.425,0.42,0.421,0.414,0.408,0.402,0.377,0.371,0.366,0.349,0.341,0.336,0.323,0.317,0.317,0.309,17.45384438,17.45384438,16.45552493,16.45552493,15.40212083,15.40212083,14.11041542,14.11041542,13.48795481,13.48795481,13.48795481,13.48795481,-99.1276,19.427
MHL,Marshall Islands,Oceania,Northern Hemisphere,Medium,EAP,131.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.779338113,4.779338113,4.779338113,4.779338113,4.779338113,4.779338113,4.779338113,4.779338113,4.779338113,4.779338113,4.779338113,171.135,7.11046
MKD,North Macedonia,Europe,Northern Hemisphere,High,ECA,78.0,,30.06879,30.06879,30.06879,30.06879,30.06879,30.06879,,19.15726,19.15726,19.15726,19.15726,37.0,0.425,0.418,0.411,0.414,0.416,0.417,0.414,0.406,0.4,0.332,0.333,0.317,0.246,0.226,0.221,0.209,0.184,0.179,0.173,0.172,0.171,0.166,0.165,0.154,0.159,0.155,0.155,0.143,0.141,0.134,0.137,0.134,17.466,10.53734,10.53734,10.53734,10.53734,10.53734,10.53734,10.53734,8.36817,8.36817,8.36817,8.36817,21.4361,42.0024
MLI,Mali,Africa,Northern Hemisphere,Low,SSA,186.0,,,,16.09936,16.09936,15.36232,15.36232,15.36232,16.56372,16.56372,16.56372,16.56372,155.0,0.674,0.675,0.674,0.673,0.673,0.671,0.671,0.672,0.673,0.672,0.67,0.666,0.671,0.668,0.667,0.665,0.642,0.647,0.652,0.659,0.666,0.672,0.669,0.665,0.663,0.659,0.677,0.676,0.675,0.667,0.613,0.613,,,,41.61872,41.61872,46.17695,46.17695,46.17695,43.85965,43.85965,43.85965,43.85965,-7.50034,13.5667
MLT,Malta,Europe,Northern Hemisphere,Very High,,23.0,13.61069,14.07223,13.33752,13.61073,12.92401,12.92401,12.92401,12.4718,12.58503,12.58503,13.85802,13.85802,42.0,0.318,0.327,0.33,0.326,0.312,0.303,0.322,0.333,0.339,0.285,0.299,0.293,0.272,0.29,0.297,0.285,0.274,0.265,0.271,0.271,0.264,0.26,0.244,0.193,0.187,0.19,0.19,0.188,0.184,0.162,0.167,0.167,5.5195,5.73251,7.31224,5.98891,6.6693,6.86637,6.86637,6.69493,6.18818,6.18818,5.19238,5.19238,14.5189,35.9042
MMR,Myanmar,Asia,Northern Hemisphere,Medium,EAP,149.0,5.845033545,5.845033545,5.845033545,5.845033545,5.845033545,5.845033545,,,,,,,125.0,,,,,,,,,,,,,,,,,,,,,0.555,0.572,0.548,0.549,0.552,0.493,0.51,0.513,0.512,0.509,0.491,0.498,19.44,19.44,19.44,19.44,19.44,19.44,26.85272,26.85272,26.85272,26.85272,26.85272,26.85272,95.9562,21.914
MNE,Montenegro,Europe,Northern Hemisphere,Very High,ECA,49.0,12.555,,,13.61438,13.61438,13.61438,13.61438,13.61438,16.92405,16.92405,16.92405,16.92405,32.0,,,,,,,,,,,,,,,,,0.229,0.215,0.221,0.225,0.207,0.189,0.163,0.161,0.151,0.146,0.126,0.124,0.124,0.115,0.126,0.119,,6.03860614,6.03860614,7.36696,7.36696,7.36696,7.36696,7.36696,7.81501,7.81501,7.81501,7.81501,19.2595,42.4602
MNG,Mongolia,Asia,Northern Hemisphere,High,EAP,96.0,19.67087,,,,15.7,15.7,15.7,15.7,16.94628,16.94628,16.94628,16.94628,76.0,0.491,0.499,0.508,0.508,0.501,0.49,0.486,0.488,0.471,0.465,0.435,0.425,0.401,0.385,0.401,0.392,0.4,0.393,0.421,0.421,0.415,0.415,0.344,0.336,0.331,0.336,0.33,0.326,0.329,0.323,0.315,0.313,11.44802,11.44802,11.44802,11.44802,11.9202,11.9202,11.9202,11.9202,11.88363,11.88363,11.88363,11.88363,106.937,47.9129
MOZ,Mozambique,Africa,Southern Hemisphere,Low,SSA,185.0,37.01801,28.39454,28.39454,28.39454,28.39454,28.39454,28.39454,28.39454,28.39454,28.39454,28.39454,28.39454,136.0,0.626,0.624,0.621,0.622,0.621,0.62,0.62,0.618,0.614,0.611,0.6,0.597,0.596,0.593,0.582,0.579,0.576,0.572,0.569,0.559,0.56,0.563,0.558,0.554,0.548,0.54,0.541,0.544,0.543,0.54,0.538,0.537,30.92034656,30.92034656,30.92034656,30.92034656,30.92034656,36.57526228,36.57526228,40.5314308,40.5314308,40.5314308,40.5314308,40.5314308,32.5713,-25.9664
MRT,Mauritania,Africa,Northern Hemisphere,Medium,SSA,158.0,23.78016,24.61075,24.61075,24.61075,24.61075,24.61075,24.61075,,,,17.33987,17.33987,161.0,0.808,0.806,0.803,0.802,0.8,0.799,0.798,0.796,0.758,0.756,0.744,0.743,0.742,0.725,0.726,0.725,0.667,0.661,0.66,0.659,0.657,0.654,0.651,0.647,0.637,0.635,0.633,0.625,0.634,0.632,0.632,0.632,42.06,40.78516,40.78516,40.78516,40.78516,40.78516,40.78516,40.78516,40.78516,40.78516,43.98689,43.98689,-15.9824,18.2367
MUS,Mauritius,Africa,Southern Hemisphere,Very High,SSA,63.0,,,18.18098242,18.18098242,18.18098242,18.18098242,18.18098242,18.18098242,18.18098242,18.18098242,18.18098242,18.18098242,82.0,0.515,0.509,0.513,0.506,0.499,0.485,0.474,0.477,0.476,0.47,0.486,0.477,0.477,0.477,0.471,0.394,0.392,0.396,0.387,0.39,0.386,0.371,0.379,0.362,0.37,0.396,0.391,0.384,0.38,0.344,0.348,0.347,,21.91298205,21.91298205,21.91298205,21.91298205,21.91298205,21.91298205,21.91298205,21.91298205,21.91298205,21.91298205,21.91298205,57.4977,-20.1605
MWI,Malawi,Africa,Southern Hemisphere,Low,SSA,169.0,23.11335,23.11335,27.68067,27.68067,32.50092,32.50092,32.4,32.4,32.4,32.4,31.27695,31.27695,142.0,0.718,0.717,0.714,0.711,0.71,0.708,0.706,0.705,0.704,0.687,0.681,0.679,0.677,0.674,0.653,0.651,0.643,0.637,0.63,0.602,0.597,0.589,0.585,0.58,0.589,0.585,0.58,0.576,0.574,0.555,0.555,0.554,30.20141,30.20141,30.20141,30.20141,28.21397,28.21397,28.42429,28.42429,28.42429,28.42429,28.00731,28.00731,33.7703,-13.9899
MYS,Malaysia,Asia,Northern Hemisphere,Very High,EAP,62.0,,,,,,,,,,,,,57.0,0.372,0.369,0.365,0.36,0.356,0.347,0.343,0.336,0.328,0.316,0.289,0.298,0.29,0.278,0.289,0.284,0.278,0.272,0.275,0.279,0.28,0.284,0.275,0.27,0.263,0.261,0.25,0.242,0.225,0.225,0.223,0.228,15.55704832,15.55704832,15.55704832,15.55704832,15.55704832,15.55704832,12.06360206,12.06360206,12.06360206,12.06360206,12.06360206,12.06360206,101.684,3.12433
NAM,Namibia,Africa,Southern Hemisphere,Medium,SSA,139.0,68.337,68.337,68.337,53.58558,53.58558,53.58558,53.58558,53.58558,53.58558,53.58558,53.58558,53.58558,111.0,0.554,0.55,0.548,0.546,0.546,0.545,0.546,0.547,0.548,0.546,0.542,0.539,0.536,0.531,0.52,0.513,0.51,0.505,0.5,0.498,0.499,0.497,0.492,0.484,0.48,0.456,0.454,0.449,0.442,0.445,0.445,0.445,27.765,27.765,27.765,25.01567,25.01567,25.01567,25.01567,25.01567,25.01567,25.01567,25.01567,25.01567,17.0931,-22.5648
NER,Niger,Africa,Northern Hemisphere,Low,SSA,189.0,21.1,14.0452243,14.0452243,14.0452243,16.43389921,16.43389921,16.43389921,16.43389921,16.43389921,16.43389921,16.43389921,16.43389921,153.0,0.796,0.795,0.795,0.795,0.795,0.797,0.796,0.795,0.794,0.793,0.792,0.79,0.788,0.787,0.699,0.697,0.695,0.693,0.69,0.697,0.694,0.674,0.669,0.664,0.66,0.656,0.648,0.637,0.635,0.632,0.631,0.611,,,34.96483,34.96483,34.96483,34.96483,34.96483,34.96483,34.96483,34.96483,34.96483,34.96483,2.1073,13.514
NGA,Nigeria,Africa,Northern Hemisphere,Low,SSA,163.0,34.49214,25.2387,25.2387,28.39144,28.39144,28.5,28.5,28.15838,28.05169,28.05169,28.05169,28.05169,168.0,,,,,,,,,,,,,,0.704,0.702,0.689,0.688,0.675,0.674,0.673,0.672,0.676,0.677,0.677,0.675,0.676,0.672,0.67,0.67,0.683,0.68,0.68,45.243,45.243,45.243,43.29704,43.29704,43.81248,43.81248,38.09476,40.41507,40.41507,40.41507,40.41507,7.48906,9.05804
NIC,Nicaragua,America,Northern Hemisphere,Medium,LAC,126.0,28.280595,28.280595,28.280595,28.280595,30.693801,30.693801,30.693801,30.693801,30.693801,30.693801,30.693801,30.693801,102.0,0.635,0.631,0.629,0.626,0.621,0.619,0.612,0.605,0.602,0.599,0.592,0.587,0.544,0.538,0.532,0.525,0.533,0.518,0.511,0.5,0.497,0.458,0.455,0.45,0.443,0.442,0.434,0.431,0.431,0.432,0.429,0.424,,29.49004,29.49004,29.49004,25.79903661,25.79903661,25.79903661,25.79903661,25.79903661,25.79903661,25.79903661,25.79903661,-86.2734,12.1475
NLD,Netherlands,Europe,Northern Hemisphere,Very High,,10.0,12.31432,11.84238,11.58106,11.92161,13.21864,12.65944,12.91624,12.06279,11.79038,11.79038,11.89275,11.89275,5.0,0.118,0.122,0.114,0.113,0.107,0.096,0.097,0.1,0.092,0.096,0.1,0.101,0.1,0.085,0.075,0.071,0.061,0.054,0.053,0.053,0.052,0.048,0.046,0.041,0.038,0.033,0.03,0.029,0.027,0.028,0.027,0.025,3.92241,4.12502,4.05123,4.248,4.49909,4.56792,5.30548,4.92932,5.3671,5.3671,4.86674,4.86674,4.89095,52.3738
NOR,Norway,Europe,Northern Hemisphere,Very High,,2.0,12.80549,10.66178,10.22623,10.35374,11.10429,10.98418,11.83017,12.73364,11.53728,11.53728,11.43144,11.43144,2.0,0.132,0.129,0.127,0.122,0.118,0.112,0.11,0.106,0.103,0.1,0.1,0.095,0.086,0.08,0.071,0.07,0.074,0.079,0.081,0.078,0.072,0.062,0.054,0.049,0.044,0.04,0.033,0.023,0.018,0.016,0.014,0.016,2.24132,2.37422,2.32217,2.42101,2.60124,5.26284,6.06716,4.38463,2.3324,2.3324,2.3324,2.3324,10.7387,59.9138
NPL,Nepal,Asia,Northern Hemisphere,Medium,SA,143.0,,15.12801,15.12801,15.12801,13.91179,13.91179,16.31632,16.31632,16.31632,16.31632,16.31632,16.31632,113.0,0.726,0.721,0.718,0.717,0.712,0.709,0.705,0.7,0.697,0.677,0.663,0.657,0.655,0.648,0.651,0.643,0.633,0.576,0.532,0.526,0.518,0.512,0.505,0.498,0.498,0.495,0.479,0.469,0.457,0.454,0.454,0.452,42.5,41.37719,41.37719,41.37719,43.89112,43.89112,40.881,40.881,40.881,41.0992,41.0992,41.0992,85.3157,27.6939
NRU,Nauru,Oceania,Southern Hemisphere,,EAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.920867,-0.5477
NZL,New Zealand,Oceania,Southern Hemisphere,Very High,,13.0,,17.89395295,17.89395295,15.5550993,16.44939836,16.44939836,16.44939836,16.44939836,16.44939836,16.44939836,16.44939836,16.44939836,25.0,0.241,0.237,0.225,0.223,0.214,0.223,0.22,0.214,0.2,0.199,0.188,0.178,0.182,0.183,0.18,0.172,0.174,0.18,0.175,0.175,0.173,0.16,0.155,0.146,0.141,0.136,0.126,0.112,0.102,0.1,0.09,0.088,1.568288077,1.817445878,1.809828984,1.809828984,1.810199062,1.772488496,1.840131778,1.840131778,1.840131778,1.840131778,1.840131778,1.840131778,174.776,-41.2865
OMN,Oman,Asia,Northern Hemisphere,Very High,AS,54.0,,20.08885691,20.08885691,20.08885691,20.08885691,20.08885691,20.08885691,20.08885691,20.08885691,20.08885691,20.08885691,20.08885691,72.0,,,,,,,,,,,,,,,0.362,0.349,0.332,0.321,0.327,0.343,0.335,0.328,0.328,0.335,0.331,0.341,0.334,0.333,0.328,0.307,0.305,0.3,30.54286069,30.54286069,30.54286069,30.54286069,30.54286069,11.94880067,11.94880067,11.94880067,11.94880067,11.94880067,11.94880067,11.94880067,58.5874,23.6105
PAK,Pakistan,Asia,Northern Hemisphere,Low,SA,161.0,11.135,11.135,11.135,11.5844,11.5844,11.5844,11.5844,17.23416,17.23416,17.23416,17.23416,17.23416,135.0,0.811,0.795,0.791,0.786,0.782,0.786,0.779,0.77,0.775,0.769,0.764,0.76,0.756,0.651,0.642,0.633,0.614,0.611,0.602,0.591,0.582,0.577,0.563,0.561,0.555,0.547,0.545,0.543,0.542,0.534,0.535,0.534,45.182,45.182,45.182,44.39953,44.39953,44.39953,44.39953,43.52795,43.52795,43.52795,43.52795,43.52795,72.8,30.5167
PAN,Panama,America,Northern Hemisphere,Very High,LAC,61.0,38.877392,38.307814,39.443256,38.480642,37.867415,37.731409,37.586143,36.912765,36.116696,36.569706,36.569706,36.569706,96.0,0.54,0.533,0.531,0.526,0.518,0.523,0.516,0.523,0.524,0.513,0.513,0.508,0.508,0.509,0.479,0.476,0.477,0.474,0.475,0.509,0.508,0.507,0.503,0.493,0.438,0.433,0.425,0.417,0.412,0.398,0.395,0.392,13.0942797,13.78346927,13.42170525,13.59583562,13.12639155,12.51679831,12.56513417,12.15230059,11.37222672,11.37222672,11.37222672,11.37222672,-79.5188,8.99427
PER,Peru,America,Southern Hemisphere,High,LAC,84.0,31.250345,30.39803,30.269547,29.46403,28.515106,28.662495,29.000943,28.568666,27.311426,26.300654,26.300654,26.300654,90.0,0.576,0.572,0.566,0.56,0.552,0.544,0.538,0.532,0.526,0.518,0.518,0.478,0.471,0.465,0.463,0.462,0.434,0.431,0.428,0.428,0.423,0.436,0.433,0.43,0.427,0.425,0.408,0.404,0.403,0.397,0.409,0.38,17.49038,17.17164,16.37128,16.22708,16.08547,15.28603,15.33142,15.06621,14.59567,14.32733,14.32733,14.32733,-77.0465,-12.0931
PHL,Philippines,Asia,Northern Hemisphere,Medium,EAP,116.0,29.98014,29.98014,29.98014,26.78594,26.78594,26.78594,26.78594,28.09546,28.09546,28.09546,28.09546,28.09546,101.0,0.52,0.519,0.515,0.513,0.508,0.503,0.499,0.497,0.493,0.49,0.497,0.499,0.475,0.473,0.479,0.478,0.479,0.462,0.466,0.467,0.465,0.457,0.455,0.443,0.436,0.43,0.422,0.423,0.422,0.421,0.421,0.419,13.5,13.5,13.5,11.5562,11.5562,11.5562,11.5562,10.0958,10.0958,10.0958,10.0958,10.0958,121.035,14.5515
PLW,Palau,Oceania,Northern Hemisphere,High,EAP,80.0,23.035,23.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.180765728,2.180765728,2.180765728,2.180765728,2.180765728,2.180765728,2.180765728,2.180765728,2.180765728,134.479,7.34194
PNG,Papua New Guinea,Oceania,Southern Hemisphere,Medium,EAP,156.0,,,,,,,28.89932,28.89932,28.89932,28.89932,28.89932,28.89932,169.0,0.671,0.668,0.665,0.663,0.661,0.659,0.658,0.656,0.657,0.654,0.654,0.653,0.65,0.68,0.676,0.672,0.667,0.663,0.659,0.656,0.655,0.652,0.595,0.592,0.586,0.581,0.576,0.729,0.728,0.726,0.725,0.725,,,,,,,35.65204,35.65204,35.65204,35.65204,35.65204,35.65204,147.194,-9.47357
POL,Poland,Europe,Northern Hemisphere,Very High,,34.0,17.0568,17.89968,17.5211,17.2853,17.38732,17.38732,16.85896,14.38105,13.14542,13.14542,12.10742,12.10742,31.0,0.272,0.278,0.264,0.252,0.242,0.227,0.217,0.206,0.202,0.197,0.194,0.158,0.158,0.156,0.153,0.157,0.159,0.166,0.173,0.174,0.171,0.152,0.152,0.15,0.145,0.134,0.132,0.125,0.121,0.111,0.11,0.109,6.3426,5.62807,5.59326,5.39706,5.3656,5.09326,4.71453,5.20938,4.93736,4.93736,4.45925,4.45925,21.02,52.26
PRK,North Korea,Asia,Northern Hemisphere,,EAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
