ISO3,Country,Continent,Hemisphere,Human Development Groups,UNDP Developing Regions,HDI Rank (2021),Inequality in income (2010),Inequality in income (2011),Inequality in income (2012),Inequality in income (2013),Inequality in income (2014),Inequality in income (2015),Inequality in income (2016),Inequality in income (2017),Inequality in income (2018),Inequality in income (2019),Inequality in income (2020),Inequality in income (2021),GII Rank (2021),Gender Inequality Index (1990),Gender Inequality Index (1991),Gender Inequality Index (1992),Gender Inequality Index (1993),Gender Inequality Index (1994),Gender Inequality Index (1995),Gender Inequality Index (1996),Gender Inequality Index (1997),Gender Inequality Index (1998),Gender Inequality Index (1999),Gender Inequality Index (2000),Gender Inequality Index (2001),Gender Inequality Index (2002),Gender Inequality Index (2003),Gender Inequality Index (2004),Gender Inequality Index (2005),Gender Inequality Index (2006),Gender Inequality Index (2007),Gender Inequality Index (2008),Gender Inequality Index (2009),Gender Inequality Index (2010),Gender Inequality Index (2011),Gender Inequality Index (2012),Gender Inequality Index (2013),Gender Inequality Index (2014),Gender Inequality Index (2015),Gender Inequality Index (2016),Gender Inequality Index (2017),Gender Inequality Index (2018),Gender Inequality Index (2019),Gender Inequality Index (2020),Gender Inequality Index (2021),Inequality in Education (2010),Inequality in Education (2011),Inequality in Education (2012),Inequality in Education (2013),Inequality in Education (2014),Inequality in Education (2015),Inequality in Education (2016),Inequality in Education (2017),Inequality in Education (2018),Inequality in Education (2019),Inequality in Education (2020),Inequality in Education (2021),Longitude,Latitude
PRT,Portugal,Europe,Northern Hemisphere,Very High,,38.0,20.81879,19.91121,20.34969,20.3843,20.55516,20.29714,20.22231,18.05881,16.50867,16.50867,15.46189,15.46189,15.0,0.256,0.251,0.241,0.239,0.228,0.224,0.223,0.228,0.221,0.19,0.195,0.187,0.186,0.18,0.177,0.165,0.157,0.138,0.134,0.132,0.127,0.12,0.112,0.098,0.091,0.08,0.078,0.077,0.074,0.071,0.069,0.067,,,,,18.01622,17.49102,16.30882,15.77579,14.96519,14.96519,13.05276,13.05276,-9.13552,38.7072
PRY,Paraguay,America,Southern Hemisphere,High,LAC,105.0,37.744469,39.391454,33.496745,33.348347,36.867216,32.986751,33.109204,34.15507,31.289717,30.441064,30.441064,30.441064,111.0,0.605,0.604,0.602,0.599,0.594,0.588,0.583,0.579,0.576,0.555,0.553,0.549,0.545,0.537,0.526,0.523,0.526,0.509,0.497,0.496,0.492,0.483,0.473,0.454,0.461,0.458,0.455,0.454,0.452,0.448,0.446,0.445,14.55382,14.11541,14.12982,13.75303,13.4586,13.0255,13.43375,13.30465,13.30079,13.15316,13.15316,13.15316,-57.6362,-25.3005
PSE,"Palestine, State of",Asia,Northern Hemisphere,High,AS,106.0,,30.32,28.41,28.41,28.41,28.41,28.41,31.64,31.64,31.64,31.64,31.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.85324071,15.28299815,14.07345231,13.15799453,12.93877784,12.3565705,11.85291072,11.67327546,10.97456434,10.97456434,10.97456434,10.97456434,,
QAT,Qatar,Asia,Northern Hemisphere,Very High,AS,42.0,,,,,,,,,,,,,54.0,,,,,,,,,,,,,,,,,0.559,0.558,0.562,0.555,0.541,0.54,0.542,0.54,0.531,0.523,0.515,0.176,0.171,0.167,0.169,0.22,19.05350472,19.88182141,18.42700576,14.11868629,13.59400339,13.59400339,11.76445408,11.22725944,11.22725944,11.22725944,11.22725944,11.22725944,51.5082,25.2948
ROU,Romania,Europe,Northern Hemisphere,Very High,,53.0,22.24504,17.3499,17.13169,16.1572,18.66331,18.66331,19.01055,20.73769,22.52086,22.52086,20.89714,20.89714,67.0,0.515,0.504,0.496,0.489,0.482,0.474,0.469,0.462,0.455,0.445,0.434,0.388,0.382,0.379,0.363,0.362,0.358,0.364,0.368,0.369,0.358,0.341,0.326,0.314,0.316,0.318,0.32,0.283,0.282,0.278,0.277,0.282,5.03124,5.03124,4.67028,4.56156,5.98063,6.21994,6.32012,5.3222,5.33215,5.33215,5.43438,5.43438,26.0979,44.4479
RUS,Russian Federation,Europe,Northern Hemisphere,Very High,,52.0,19.161,20.827,20.827,19.444,19.138,18.673,18.664,17.934,17.643,17.645,17.645,17.645,50.0,0.447,0.445,0.446,0.458,0.465,0.455,0.434,0.415,0.401,0.391,0.403,0.401,0.389,0.387,0.368,0.364,0.356,0.326,0.325,0.318,0.307,0.301,0.292,0.283,0.277,0.253,0.247,0.219,0.21,0.203,0.203,0.203,3.903854,3.279171,3.279171,3.046794,2.80284,2.712368,2.346303,2.207172,2.076,2.036,2.036,2.036,37.6176,55.7558
RWA,Rwanda,Africa,Southern Hemisphere,Low,SSA,165.0,30.24238,30.24238,30.24238,35.17475,35.17475,36.39382,36.39382,36.39382,36.39382,36.39382,27.19248,27.19248,93.0,0.611,0.607,0.602,0.603,0.6,0.597,0.597,0.594,0.591,0.587,0.563,0.56,0.554,0.513,0.502,0.491,0.477,0.467,0.456,0.457,0.45,0.442,0.436,0.423,0.417,0.41,0.4,0.393,0.389,0.388,0.388,0.388,29.41586,29.41586,29.41586,29.41586,29.41586,29.25386,29.25386,29.25386,29.25386,29.25386,27.35907,27.35907,30.0587,-1.95325
SAU,Saudi Arabia,Asia,Northern Hemisphere,Very High,AS,35.0,,,,,,,,,,,,,59.0,,,,,,,,,,,,,,0.69,0.678,0.671,0.663,0.663,0.66,0.658,0.651,0.643,0.642,0.307,0.303,0.293,0.287,0.298,0.287,0.265,0.244,0.247,,,,18.60202657,18.60202657,18.60202657,18.60202657,18.11940114,18.11940114,18.11940114,18.11940114,18.11940114,46.6977,24.6748
SDN,Sudan,Africa,Northern Hemisphere,Low,AS,172.0,21.21147,21.21147,21.21147,21.21147,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,141.0,0.746,0.741,0.736,0.733,0.727,0.723,0.719,0.717,0.714,0.71,0.709,0.682,0.679,0.676,0.671,0.647,0.638,0.636,0.633,0.628,0.609,0.604,0.598,0.594,0.59,0.572,0.567,0.561,0.557,0.555,0.555,0.553,42.67139,42.67139,42.67139,42.67139,42.45021,42.45021,42.45021,42.45021,42.45021,42.45021,42.45021,42.45021,32.5363,15.5932
SEN,Senegal,Africa,Northern Hemisphere,Low,SSA,170.0,26.382,26.382,26.382,26.382,26.382,26.382,26.382,26.382,23.384,23.384,23.384,23.384,131.0,0.678,0.675,0.675,0.673,0.671,0.671,0.671,0.672,0.669,0.661,0.659,0.648,0.639,0.638,0.636,0.633,0.633,0.606,0.601,0.594,0.586,0.58,0.551,0.542,0.538,0.535,0.533,0.531,0.532,0.532,0.532,0.53,44.579,44.579,44.579,44.22756,44.74737,45.28813,46.45389,45.98846,46.36412,47.1353,47.1353,47.1353,-17.4734,14.7247
SGP,Singapore,Asia,Northern Hemisphere,Very High,EAP,12.0,23.25344363,24.56767753,24.96040064,24.96040064,24.96040064,24.96040064,24.96040064,24.96040064,24.96040064,24.96040064,24.96040064,24.96040064,7.0,0.261,0.244,0.24,0.238,0.232,0.24,0.237,0.242,0.239,0.252,0.264,0.178,0.189,0.153,0.155,0.151,0.129,0.111,0.099,0.09,0.085,0.086,0.078,0.07,0.061,0.057,0.048,0.048,0.049,0.051,0.04,0.04,12.26380693,12.21469479,11.88493175,11.55614286,11.49435898,10.72002454,10.99852963,11.04336304,10.00732115,10.00732115,10.00732115,10.00732115,103.85,1.28941
SLB,Solomon Islands,Oceania,Southern Hemisphere,Medium,EAP,155.0,26.315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.82,,,,,,,,,,,,159.949,-9.42676
SLE,Sierra Leone,Africa,Northern Hemisphere,Low,SSA,181.0,17.69402,17.69402,17.69402,19.22054,19.22054,19.22054,19.22054,17.73822,17.73822,19.85569,19.85569,19.85569,162.0,,,,,,,,,,0.691,0.691,0.69,0.689,0.667,0.665,0.664,0.662,0.664,0.662,0.66,0.658,0.656,0.655,0.653,0.652,0.647,0.643,0.64,0.638,0.635,0.634,0.633,48.723,48.723,48.723,47.29928,47.29928,47.29928,47.29928,46.92677,46.92677,47.50289,47.50289,47.50289,-13.2134,8.4821
SLV,El Salvador,America,Northern Hemisphere,Medium,LAC,125.0,27.842098,26.295309,25.859547,27.609213,25.422641,24.293636,23.937419,21.811224,22.43198,22.481244,22.481244,22.481244,88.0,0.54,0.535,0.531,0.528,0.526,0.527,0.526,0.522,0.511,0.503,0.529,0.526,0.515,0.502,0.498,0.494,0.462,0.447,0.443,0.432,0.424,0.424,0.404,0.398,0.395,0.385,0.377,0.372,0.37,0.37,0.365,0.376,27.98790412,27.24205458,26.71518884,26.40671686,25.38055935,25.17606289,25.07658318,24.57277678,23.7938081,23.7938081,23.7938081,23.7938081,-89.2073,13.7034
SMR,San Marino,Europe,Northern Hemisphere,Very High,,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.562256324,5.562256324,5.562256324,5.562256324,12.4486,43.9322
SOM,Somalia,Africa,Northern Hemisphere,,AS,,,,,,,,24.35,24.35,24.35,24.35,24.35,24.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.51879,43.51879,,,,,,,,,,,45.3254,2.07515
SRB,Serbia,Europe,Northern Hemisphere,Very High,ECA,63.0,,,,23.68371,24.3569,23.37078,23.18535,28.08094,23.65848,23.65848,18.49592,18.49592,36.0,,,,,,,,,,,,,,,,,0.235,0.199,0.196,0.195,0.194,0.192,0.166,0.161,0.159,0.159,0.145,0.138,0.132,0.128,0.129,0.131,,,,,9.76144,9.26056,8.13212,8.13663,7.47189,7.47189,7.19484,7.19484,20.4656,44.8024
SSD,South Sudan,Africa,Northern Hemisphere,Low,SSA,191.0,32.25296,32.25296,32.25296,32.25296,32.25296,32.25296,32.25296,32.25296,32.25296,32.25296,32.25296,32.25296,150.0,,,,,,,,,,,,,,,,,,,,,,0.607,0.606,0.606,0.604,0.603,0.598,0.597,0.596,0.595,0.597,0.587,39.55255,39.55255,39.55255,39.55255,39.55255,39.55255,39.55255,39.55255,39.55255,39.55255,39.55255,39.55255,31.6,4.85
STP,Sao Tome and Principe,Africa,Northern Hemisphere,Medium,SSA,138.0,,,,,14.89161,14.89161,14.89161,14.89161,14.89161,26.209,26.209,26.209,124.0,0.632,0.629,0.627,0.626,0.624,0.622,0.62,0.617,0.616,0.603,0.601,0.6,0.599,0.597,0.596,0.593,0.601,0.665,0.598,0.597,0.548,0.545,0.541,0.536,0.533,0.528,0.523,0.517,0.524,0.522,0.496,0.494,19.992,19.992,19.992,19.992,18.30533,18.30533,18.30533,18.30533,18.30533,18.69702,18.69702,18.69702,6.6071,0.20618
SUR,Suriname,America,Northern Hemisphere,High,LAC,99.0,37.32015,37.32015,37.32015,37.32015,37.32015,37.32015,,,46.69631,46.69631,46.69631,46.69631,105.0,,,,,,,,,,,,,,,0.513,0.49,0.486,0.484,0.481,0.474,0.517,0.498,0.491,0.488,0.485,0.442,0.44,0.44,0.436,0.423,0.427,0.427,19.02641,19.02641,19.02641,19.02641,19.02641,19.02641,,,18.36769,18.36769,18.36769,18.36769,-55.1679,5.8232
SVK,Slovakia,Europe,Northern Hemisphere,Very High,,45.0,11.32483,11.45688,11.30804,11.15959,13.24679,13.24679,12.31767,11.33007,11.33007,11.33007,9.06554,9.06554,45.0,0.277,0.282,0.273,0.263,0.255,0.242,0.235,0.23,0.225,0.229,0.215,0.207,0.19,0.182,0.191,0.192,0.18,0.182,0.184,0.192,0.203,0.2,0.186,0.186,0.189,0.191,0.192,0.193,0.194,0.194,0.184,0.18,1.50554,1.53832,1.53767,1.40498,1.63276,1.414,1.43804,1.55613,1.55613,1.55613,1.74792,1.74792,,
SVN,Slovenia,Europe,Northern Hemisphere,Very High,,23.0,9.90261,10.61874,10.98858,11.33414,11.81318,11.17606,10.95858,9.13394,8.59101,8.59101,8.30524,8.30524,18.0,0.285,0.279,0.273,0.255,0.25,0.236,0.223,0.205,0.199,0.194,0.189,0.14,0.137,0.127,0.129,0.134,0.127,0.14,0.135,0.13,0.128,0.078,0.07,0.07,0.067,0.063,0.057,0.054,0.074,0.07,0.069,0.071,3.2946,2.67723,2.64355,2.55129,2.19165,2.22941,2.23706,2.17402,2.12184,2.12184,2.05965,2.05965,14.5044,46.0546
SWE,Sweden,Europe,Northern Hemisphere,Very High,,7.0,11.2336,12.3895,13.06043,12.72093,13.78127,13.78127,13.53804,13.01092,12.58113,12.58113,12.77164,12.77164,4.0,0.101,0.1,0.094,0.09,0.083,0.075,0.067,0.063,0.06,0.059,0.06,0.056,0.054,0.049,0.048,0.047,0.047,0.047,0.048,0.049,0.052,0.052,0.049,0.048,0.044,0.039,0.038,0.035,0.031,0.024,0.024,0.023,3.79512,3.59443,3.46342,3.40366,3.53646,3.51567,3.74238,3.79204,3.68669,3.68669,3.8679,3.8679,18.0645,59.3327
SWZ,Eswatini,Africa,Southern Hemisphere,Medium,SSA,144.0,37.55508,37.55508,37.55508,37.55508,37.9,37.9,37.9,37.9,37.9,37.9,37.9,37.9,138.0,0.627,0.625,0.624,0.622,0.619,0.616,0.615,0.613,0.613,0.628,0.63,0.63,0.63,0.587,0.587,0.587,0.582,0.572,0.559,0.555,0.552,0.549,0.546,0.564,0.562,0.559,0.557,0.555,0.563,0.561,0.541,0.54,26.81536,26.81536,26.81536,26.81536,24.10655,24.10655,24.10655,24.10655,24.10655,24.10655,24.10655,24.10655,31.4659,-26.5225
SYC,Seychelles,Africa,Southern Hemisphere,High,SSA,72.0,,,,29.34535638,29.34535638,29.34535638,29.34535638,29.34535638,29.34535638,29.34535638,29.34535638,29.34535638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.65648,6.65648,6.65648,55.4466,-4.6309
SYR,Syrian Arab Republic,Asia,Northern Hemisphere,Medium,AS,150.0,18.31698,18.31698,,,,,,,,,,,119.0,0.551,0.541,0.53,0.525,0.515,0.505,0.506,0.507,0.51,0.482,0.461,0.464,0.468,0.464,0.478,0.487,0.501,0.51,0.499,0.506,0.509,0.491,0.488,0.486,0.482,0.473,0.465,0.466,0.465,0.465,0.478,0.477,28.7093834,28.7093834,28.7093834,28.7093834,28.7093834,28.7093834,,,,,,,36.3119,33.5146
TCD,Chad,Africa,Northern Hemisphere,Low,SSA,190.0,30.72892,30.72892,30.72892,30.72892,30.72892,28.4,28.4,28.4,28.4,26.50219,26.50219,26.50219,165.0,,,,,,,,,,,,0.785,0.783,0.752,0.748,0.745,0.743,0.75,0.748,0.747,0.747,0.71,0.703,0.701,0.699,0.697,0.695,0.699,0.69,0.69,0.688,0.652,41.86106,41.86106,41.86106,41.86106,41.86106,42.9501,42.9501,42.9501,42.9501,42.9329,42.9329,42.9329,15.0445,12.1048
TGO,Togo,Africa,Northern Hemisphere,Low,SSA,162.0,23.51791,23.51791,23.51791,23.51791,25.10903,25.10903,25.10903,26.85326,26.85326,26.85326,26.85326,26.85326,149.0,0.739,0.737,0.736,0.735,0.734,0.731,0.728,0.726,0.726,0.725,0.666,0.666,0.664,0.644,0.65,0.64,0.63,0.617,0.615,0.612,0.621,0.628,0.624,0.605,0.595,0.592,0.59,0.588,0.586,0.588,0.58,0.58,38.8745,38.8745,38.8745,38.8745,38.87913,38.87913,38.87913,37.72766,37.72766,37.72766,37.72766,37.72766,1.2255,6.1228
THA,Thailand,Asia,Northern Hemisphere,Very High,EAP,66.0,27.60673,,,23.81426,23.81426,23.81426,23.81426,23.81426,23.81426,18.7899,18.7899,18.7899,79.0,0.437,0.434,0.431,0.429,0.428,0.428,0.427,0.423,0.427,0.422,0.406,0.383,0.39,0.395,0.407,0.394,0.409,0.395,0.387,0.382,0.378,0.369,0.365,0.364,0.419,0.416,0.408,0.419,0.405,0.335,0.335,0.333,20.75671735,20.75671735,20.75671735,16.58373,16.58373,16.58373,16.58373,16.58373,16.58373,16.84539,16.84539,16.84539,100.521,13.7308
TJK,Tajikistan,Asia,Northern Hemisphere,Medium,ECA,122.0,,,12.18062,12.18062,12.18062,12.18062,12.18062,14.4674,14.4674,14.4674,14.4674,14.4674,68.0,0.537,0.541,0.549,0.558,0.583,0.583,0.573,0.558,0.546,0.522,0.417,0.419,0.4,0.379,0.372,0.341,0.334,0.331,0.335,0.343,0.343,0.343,0.337,0.334,0.336,0.329,0.295,0.28,0.289,0.298,0.287,0.285,,,6.54325,6.54325,6.54325,6.54325,6.54325,6.03825,6.03825,6.03825,6.03825,6.03825,68.7864,38.5878
TKM,Turkmenistan,Asia,Northern Hemisphere,High,ECA,91.0,24.98809,24.98809,,,,,26.8,26.8,26.8,26.20491,26.20491,26.20491,43.0,,,,,,0.338,0.338,0.327,0.318,0.3,0.261,0.25,0.24,0.225,0.217,0.243,0.246,0.235,0.226,0.22,0.209,0.212,0.215,0.217,0.189,0.189,0.187,0.184,0.183,0.18,0.179,0.177,5.24207,5.24207,,,,,3.55428,3.55428,3.55428,2.94467,2.94467,2.94467,58.3794,37.9509
TLS,Timor-Leste,Asia,Southern Hemisphere,Medium,EAP,140.0,17.81977,17.81977,17.81977,17.81977,17.81977,17.81977,13.58745,13.58745,13.58745,13.58745,13.58745,13.58745,89.0,,,,,,,,,,,,,0.56,0.549,0.536,0.52,0.505,0.483,0.474,0.467,0.453,0.438,0.419,0.411,0.404,0.397,0.39,0.394,0.389,0.38,0.379,0.378,47.62373,47.62373,47.62373,47.62373,47.62373,47.62373,44.91179,44.91179,44.91179,44.91179,44.91179,44.91179,125.567,-8.56667
TON,Tonga,Oceania,Southern Hemisphere,High,EAP,91.0,,,,,,,,,,18.24092,18.24092,18.24092,160.0,0.705,0.698,0.692,0.685,0.676,0.673,0.67,0.668,0.669,0.672,0.667,0.663,0.66,0.658,0.657,0.453,0.45,0.446,0.446,0.446,0.643,0.428,0.428,0.429,0.64,0.637,0.633,0.363,0.365,0.367,0.366,0.631,,5.061193561,5.061193561,5.061193561,5.061193561,5.061193561,5.061193561,,,4.30943,4.30943,4.30943,-175.216,-21.136
TTO,Trinidad and Tobago,America,Northern Hemisphere,Very High,LAC,57.0,21.94,21.94,,,,,,,,,,,81.0,0.456,0.448,0.437,0.434,0.434,0.422,0.41,0.407,0.405,0.401,0.4,0.392,0.374,0.373,0.373,0.367,0.367,0.347,0.355,0.359,0.367,0.369,0.366,0.364,0.363,0.349,0.347,0.348,0.348,0.344,0.345,0.344,,9.71398,9.71398,9.71398,9.71398,9.71398,9.71398,,,,,,-61.4789,10.6596
TUN,Tunisia,Africa,Northern Hemisphere,High,AS,97.0,,,18.85424,18.85424,18.85424,18.85424,18.85424,18.85424,16.88955,16.88955,16.88955,16.88955,61.0,0.558,0.548,0.54,0.532,0.517,0.502,0.485,0.467,0.447,0.402,0.394,0.385,0.371,0.363,0.311,0.317,0.309,0.302,0.299,0.289,0.29,0.29,0.29,0.294,0.284,0.283,0.273,0.262,0.253,0.27,0.264,0.259,,,34.57692,34.57692,34.57692,34.57692,34.57692,34.57692,30.70285,30.70285,30.70285,30.70285,10.21,36.7899
TUR,Turkey,Asia,Northern Hemisphere,Very High,ECA,48.0,21.89996908,23.09223585,23.1446627,23.07928288,23.07928288,23.07928288,23.07928288,23.07928288,23.07928288,23.07928288,23.07928288,23.07928288,65.0,0.611,0.612,0.608,0.621,0.608,0.604,0.6,0.599,0.593,0.554,0.553,0.548,0.533,0.527,0.533,0.531,0.52,0.465,0.451,0.437,0.422,0.382,0.37,0.354,0.346,0.335,0.323,0.311,0.286,0.277,0.277,0.272,17.50469907,15.96866601,15.14693145,15.0250357,14.73859489,14.59371053,14.06143585,13.64287582,13.64287582,13.64287582,13.64287582,13.64287582,32.3606,39.7153
TUV,Tuvalu,Oceania,Southern Hemisphere,Medium,EAP,130.0,23.35938341,23.35938341,23.35938341,23.35938341,23.35938341,23.35938341,,,,,22.94714,22.94714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.499,10.499,10.499,10.499,10.499,10.499,,,,,9.17696,9.17696,179.089567,-8.6314877
TZA,Tanzania,Africa,Southern Hemisphere,Low,SSA,160.0,20.88408,20.88408,22.72846,22.72846,22.72846,22.72846,22.4,22.4,22.4,22.4,22.4,22.4,146.0,0.659,0.657,0.654,0.653,0.652,0.651,0.648,0.646,0.642,0.642,0.64,0.623,0.619,0.617,0.615,0.596,0.592,0.589,0.585,0.583,0.581,0.571,0.569,0.569,0.57,0.569,0.567,0.563,0.562,0.561,0.56,0.56,29.5,29.5,28.49972,28.49972,28.49972,28.49972,26.96013,26.96013,26.96013,26.96013,26.96013,26.96013,35.7382,-6.17486
UGA,Uganda,Africa,Northern Hemisphere,Low,SSA,166.0,,,23.29338571,23.29338571,23.29338571,23.29338571,23.29338571,24.94038796,24.94038796,24.94038796,24.94038796,24.94038796,131.0,0.661,0.66,0.66,0.658,0.655,0.654,0.654,0.652,0.648,0.645,0.64,0.62,0.616,0.603,0.596,0.587,0.57,0.563,0.558,0.559,0.561,0.554,0.552,0.548,0.545,0.542,0.539,0.534,0.533,0.53,0.53,0.53,32.2,29.37211,29.37211,29.37211,29.37211,29.37211,27.91438,27.91438,27.91438,27.91438,27.91438,27.91438,32.5729,0.314269
UKR,Ukraine,Europe,Northern Hemisphere,High,ECA,77.0,9.023161435,8.854335766,8.960416954,8.884698945,8.524722702,8.524722702,8.524722702,8.524722702,8.524722702,8.524722702,8.524722702,8.524722702,49.0,0.471,0.472,0.473,0.474,0.474,0.473,0.463,0.446,0.429,0.368,0.357,0.346,0.346,0.368,0.371,0.369,0.333,0.345,0.349,0.336,0.325,0.318,0.311,0.305,0.295,0.283,0.275,0.26,0.249,0.205,0.198,0.2,6.1,6.1,3.59926,3.59926,3.59926,3.59926,3.59926,3.59926,3.59926,3.59926,3.59926,3.59926,30.5038,50.4536
URY,Uruguay,America,Southern Hemisphere,Very High,LAC,58.0,28.734225,26.32497,24.063041,24.660035,24.294552,24.352623,23.698562,23.357915,23.545822,23.543408,23.543408,23.543408,58.0,0.433,0.443,0.432,0.435,0.434,0.434,0.425,0.42,0.414,0.379,0.381,0.376,0.376,0.365,0.364,0.366,0.359,0.348,0.342,0.334,0.321,0.33,0.329,0.333,0.328,0.297,0.29,0.269,0.258,0.253,0.242,0.235,8.40132,7.40243,7.15325,6.98308,6.84863,6.81665,6.65935,6.63096,6.52606,6.54951,6.54951,6.54951,-56.0675,-34.8941
USA,United States,America,Northern Hemisphere,Very High,,21.0,24.539,24.91,24.964,24.645,26.434,25.892,25.817,26.285,26.02,26.002,23.222,23.222,44.0,0.294,0.296,0.295,0.294,0.299,0.295,0.291,0.282,0.28,0.277,0.275,0.271,0.267,0.262,0.258,0.256,0.257,0.257,0.254,0.256,0.248,0.241,0.235,0.229,0.217,0.219,0.216,0.209,0.192,0.189,0.178,0.179,2.912103641,2.903005558,2.823743688,3.000270228,3.042451219,3.03614997,2.915457403,2.915457403,2.745849765,2.745849765,2.745849765,2.745849765,-77.032,38.8895
UZB,Uzbekistan,Asia,Northern Hemisphere,High,ECA,101.0,20.07272,20.07272,,,,,,,,,,,56.0,,,,,,,,,,,0.353,0.34,0.325,0.308,0.229,0.233,0.23,0.23,0.239,0.265,0.276,0.291,0.295,0.29,0.289,0.297,0.286,0.278,0.274,0.268,0.229,0.227,,,,0.779396797,0.765510466,0.757375436,0.724853929,0.724853929,0.550110115,0.550110115,0.550110115,0.550110115,69.269,41.3052
VCT,Saint Vincent and the Grenadines,America,Northern Hemisphere,High,LAC,89.0,,,,,,,,,,,,,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.414,0.411,0.41,0.391,0.39,,,,,,,,9.166052393,9.166052393,9.166052393,9.166052393,9.166052393,,
VEN,Venezuela,America,Northern Hemisphere,Medium,LAC,120.0,19.4,20.1,21.8,21.8,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,123.0,0.563,0.56,0.559,0.556,0.557,0.553,0.555,0.553,0.551,0.526,0.519,0.527,0.534,0.53,0.522,0.489,0.489,0.486,0.487,0.491,0.493,0.491,0.491,0.488,0.486,0.487,0.499,0.481,0.483,0.492,0.492,0.492,17.53291796,13.35926304,13.35926304,13.35926304,13.35926304,14.28363686,8.67058997,8.67058997,8.67058997,8.67058997,8.67058997,8.67058997,,
VNM,Viet Nam,Asia,Northern Hemisphere,High,EAP,115.0,21.9935,21.9935,21.9935,21.43403,21.43403,21.43403,21.43403,21.43403,21.43403,21.43403,14.60094,14.60094,71.0,0.41,0.409,0.407,0.401,0.392,0.384,0.369,0.358,0.342,0.334,0.328,0.321,0.312,0.304,0.305,0.3,0.299,0.303,0.307,0.312,0.315,0.32,0.319,0.32,0.317,0.316,0.306,0.303,0.304,0.305,0.305,0.296,16.57815,16.57815,16.57815,16.57815,17.63946,17.63946,17.63946,17.63946,17.63946,17.63946,15.25479,15.25479,,
VUT,Vanuatu,Oceania,Southern Hemisphere,Medium,EAP,140.0,19.68256999,19.68256999,19.68256999,19.68256999,19.68256999,19.68256999,19.68256999,19.68256999,19.68256999,19.68256999,19.68256999,19.68256999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.49305,17.49305,17.49305,17.49305,17.49305,,,,,,,,168.321,-17.7404
WSM,Samoa,Oceania,Southern Hemisphere,High,EAP,111.0,,,,,,,,,,,21.87008,21.87008,99.0,,,,,,,,,,,,,,,,,,,,,,0.479,0.482,0.475,0.447,0.443,0.409,0.407,0.407,0.405,0.404,0.418,,,,,,,,,,,7.02996,7.02996,-171.752,-13.8314
YEM,Yemen,Asia,Northern Hemisphere,Low,AS,183.0,20.57543,20.57543,20.57543,21.80323,21.80323,21.80323,21.80323,21.80323,21.80323,21.80323,21.80323,21.80323,170.0,,,,,,,,,0.812,0.807,0.805,0.803,0.802,0.822,0.821,0.799,0.8,0.799,0.798,0.798,0.798,0.799,0.8,0.802,0.806,0.815,0.81,0.808,0.806,0.785,0.784,0.82,48.09012,48.09012,48.09012,46.13765,46.13765,46.13765,46.13765,46.13765,46.13765,46.13765,46.13765,46.13765,,
ZAF,South Africa,Africa,Southern Hemisphere,High,SSA,109.0,57.268,57.268,54.705,54.705,54.705,56.124,56.124,56.996,56.996,56.996,56.996,56.996,97.0,0.511,0.502,0.496,0.489,0.482,0.476,0.472,0.468,0.461,0.459,0.459,0.461,0.459,0.463,0.459,0.454,0.456,0.452,0.463,0.443,0.44,0.441,0.432,0.431,0.433,0.427,0.418,0.407,0.405,0.41,0.408,0.405,,,16.06077,16.06077,16.06077,14.26559,17.29413,17.29413,17.29413,17.29413,17.29413,17.29413,28.1871,-25.746
ZMB,Zambia,Africa,Southern Hemisphere,Medium,SSA,154.0,42.62731,42.62731,42.62731,42.62731,48.55829,48.55829,48.55829,48.55829,44.84022,44.84022,44.84022,44.84022,138.0,0.666,0.66,0.654,0.651,0.647,0.642,0.645,0.646,0.646,0.648,0.648,0.642,0.629,0.626,0.623,0.617,0.606,0.6,0.594,0.592,0.586,0.59,0.585,0.581,0.579,0.567,0.545,0.54,0.537,0.534,0.535,0.54,23.76,23.76,23.76,23.76,21.73491,21.73491,21.73491,21.73491,20.43572,20.43572,20.43572,20.43572,28.2937,-15.3982
ZWE,Zimbabwe,Africa,Southern Hemisphere,Medium,SSA,146.0,34.48,35.7758,35.7758,35.7758,35.7758,27.01627,27.01627,27.01627,27.01627,28.76901,28.76901,28.76901,134.0,0.605,0.602,0.598,0.596,0.595,0.594,0.593,0.594,0.596,0.602,0.625,0.626,0.628,0.629,0.628,0.595,0.59,0.588,0.597,0.596,0.592,0.587,0.583,0.547,0.545,0.54,0.537,0.532,0.535,0.533,0.533,0.532,17.825,17.825,17.825,17.825,17.39521,16.80576,16.80576,16.80576,16.80576,14.60503,14.60503,14.60503,31.0672,-17.8312
